,grouptitle,MainM3U8ip,child_m3ips,.ts ips,status,ASN_m3u8,ASN_childm3,ASN_ts,HLS status,HOST_m3u8
America's Funniest Videos,"['""USA"",America\'s Funniest Videos']",['192.229.163.69'],['NONE'],"[['192.229.163.69', '93.184.215.178', '130.211.30.27'], ['192.229.163.69', '93.184.215.178', '130.211.30.27'], ['192.229.163.69', '93.184.215.178', '130.211.30.27']]",NONE,['AS15133'],['NONE'],"['AS15133', 'AS15133', 'AS15133']",no,cant reverse lookup
American Horrors,"['""USA"",American Horrors']",[],['NONE'],[],Error,[],['NONE'],[],,
Animal Planet*,"['""USA"",Animal Planet*']",['80.80.160.168'],{'80.80.160.168'},"[['80.80.160.168'], ['80.80.160.168'], ['80.80.160.168']]",NONE,['AS21246'],['AS21246'],"['AS21246', 'AS21246', 'AS21246']",no,cant reverse lookup
Apple Sauce Network,"['""USA"",Apple Sauce Network']",['159.65.251.40'],['NONE'],[],Error,['AS14061'],['NONE'],[],,cant reverse lookup
Arirang (Opt-1) (KR),"['""24/7 WORLD NEWS"",Arirang (Opt-1) (KR)']",['23.221.72.24'],{'23.221.72.24'},"[['23.221.72.24'], ['23.221.72.24'], ['23.221.72.24'], ['23.221.72.24']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-24.deploy.static.akamaitechnologies.com', [], ['23.221.72.24'])"
Arirang (Opt-2) (KR),"['""24/7 WORLD NEWS"",Arirang (Opt-2) (KR)']",[],['NONE'],[],Error,[],['NONE'],[],,
Atlanta Channel,"['""USA"",Atlanta Channel']",[],['NONE'],[],Error,[],['NONE'],[],,
BBC World News (Opt-1) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-1) (GB)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
BBC World News (Opt-2) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-2) (GB)']",['185.59.223.29'],['NONE'],"[['185.59.223.29'], ['185.59.223.29'], ['185.59.223.29']]",NONE,['AS60068'],['NONE'],"['AS60068', 'AS60068', 'AS60068']",no,"('new-york-8.cdn77.com', [], ['185.59.223.29'])"
BBC World News (Opt-3) (GB),"['""24/7 WORLD NEWS"",BBC World News (Opt-3) (GB)']",['92.43.140.249'],['NONE'],"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['NONE'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
BET,"['""USA"",BET']",['104.31.7.163'],['NONE'],[],Error,['AS13335'],['NONE'],[],,cant reverse lookup
BYUtv (HD),"['""USA"",BYUtv (HD)']",['204.237.142.155'],['NONE'],"[['204.237.142.155'], ['204.237.142.155'], ['204.237.142.155']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,cant reverse lookup
BYUtv (SD),"['""USA"",BYUtv (SD)']",['204.237.142.155'],['NONE'],"[['204.237.142.155'], ['204.237.142.155'], ['204.237.142.155']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,cant reverse lookup
Beach TV - 30A,"['""USA"",Beach TV - 30A']",[],['NONE'],[],Error,[],['NONE'],[],,
Beach TV - Panama City,"['""USA"",Beach TV - Panama City']",[],['NONE'],[],Error,[],['NONE'],[],,
Beach TV - Pawleys Island,"['""USA"",Beach TV - Pawleys Island']",[],['NONE'],[],Error,[],['NONE'],[],,
Beauty IQ,"['""USA"",Beauty IQ']",['69.164.0.0'],{'69.164.0.0'},"[['69.164.0.0'], ['69.164.0.0'], ['69.164.0.0'], ['69.164.0.0'], ['69.164.0.0'], ['69.164.0.0'], ['69.164.0.0']]",NONE,['AS22822'],['AS22822'],"['AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822', 'AS22822']",no,"('https-69-164-0-0.iad.llnw.net', [], ['69.164.0.0'])"
Bloomberg Television (Opt-1),"['""USA"",Bloomberg Television (Opt-1)']",['151.101.193.194'],"{'151.101.1.194', '151.101.193.194'}",[],Error,['AS54113'],"['AS54113', 'AS54113']",[],,cant reverse lookup
Bloomberg Television (Opt-2),"['""USA"",Bloomberg Television (Opt-2)']",['210.210.155.35'],{'210.210.155.35'},[['210.210.155.35']],NONE,['AS4787'],['AS4787'],['AS4787'],no,"('210-210-155-35.cbn.net.id', [], ['210.210.155.35'])"
Buzzr,"['""USA"",Buzzr']",['151.101.193.194'],['NONE'],"[['151.101.1.194', '151.101.193.194'], ['151.101.1.194', '151.101.193.194'], ['151.101.1.194', '151.101.193.194']]",NONE,['AS54113'],['NONE'],"['AS54113', 'AS54113', 'AS54113']",no,cant reverse lookup
C-SPAN,"['""USA"",C-SPAN']",['204.237.142.162'],{'204.237.142.162'},"[['204.237.142.162'], ['204.237.142.162']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940']",no,cant reverse lookup
C-SPAN 2,"['""USA"",C-SPAN 2']",['204.237.142.162'],{'204.237.142.162'},"[['204.237.142.162'], ['204.237.142.162']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940']",no,cant reverse lookup
C-SPAN 3,"['""USA"",C-SPAN 3']",['204.237.142.162'],{'204.237.142.162'},"[['204.237.142.162'], ['204.237.142.162']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940']",no,cant reverse lookup
CBS (WFOR) (EST),"['""USA"",CBS (WFOR) (EST)']",['161.0.157.50'],['NONE'],"[['161.0.157.50'], ['161.0.157.50'], ['161.0.157.50']]",NONE,['AS27800'],['NONE'],"['AS27800', 'AS27800', 'AS27800']",no,cant reverse lookup
CBS (WPEC) (EST),"['""USA"",CBS (WPEC) (EST)']",[],['NONE'],[],Error,[],['NONE'],[],,
CGTN (Opt-1) (CN),"['""24/7 WORLD NEWS"",CGTN (Opt-1) (CN)']",['23.236.125.236'],['NONE'],"[['23.236.125.236'], ['23.236.125.236'], ['23.236.125.236']]",NONE,['AS21859'],['NONE'],"['AS21859', 'AS21859', 'AS21859']",no,cant reverse lookup
CGTN (Opt-2) (CN),"['""24/7 WORLD NEWS"",CGTN (Opt-2) (CN)']",['23.236.125.236'],['NONE'],"[['23.236.125.236'], ['23.236.125.236'], ['23.236.125.236']]",NONE,['AS21859'],['NONE'],"['AS21859', 'AS21859', 'AS21859']",no,cant reverse lookup
CGTN America (CN),"['""24/7 WORLD NEWS"",CGTN America (CN)']",['151.101.194.29'],['NONE'],[],Error,['AS54113'],['NONE'],[],,cant reverse lookup
CNA (Opt-1) (SG),"['""24/7 WORLD NEWS"",CNA (Opt-1) (SG)']",['99.84.106.3'],['NONE'],"[['99.84.106.6', '99.84.106.3'], ['99.84.106.6', '99.84.106.3'], ['99.84.106.6', '99.84.106.3']]",NONE,['AS16509'],['NONE'],"['AS16509', 'AS16509', 'AS16509']",no,"('server-99-84-106-3.iad79.r.cloudfront.net', [], ['99.84.106.3'])"
CNA (Opt-2) (SG),"['""24/7 WORLD NEWS"",CNA (Opt-2) (SG)']",['210.210.155.35'],['NONE'],"[['210.210.155.35'], ['210.210.155.35'], ['210.210.155.35']]",NONE,['AS4787'],['NONE'],"['AS4787', 'AS4787', 'AS4787']",no,"('210-210-155-35.cbn.net.id', [], ['210.210.155.35'])"
CNBC World (US),"['""24/7 WORLD NEWS"",CNBC World (US)']",['161.0.157.9'],['NONE'],"[['161.0.157.9'], ['161.0.157.9'], ['161.0.157.9']]",NONE,['AS27800'],['NONE'],"['AS27800', 'AS27800', 'AS27800']",no,cant reverse lookup
CNN International (Opt-1) (US),"['""24/7 WORLD NEWS"",CNN International (Opt-1) (US)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
CNN International (Opt-2) (US),"['""24/7 WORLD NEWS"",CNN International (Opt-2) (US)']",['92.43.140.249'],['NONE'],"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['NONE'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
CNN International (Opt-3) (US),"['""24/7 WORLD NEWS"",CNN International (Opt-3) (US)']",['93.189.224.14'],['NONE'],[],Error,['AS199102'],['NONE'],[],,cant reverse lookup
California Music Channel,"['""USA"",California Music Channel']",['63.251.19.13'],{'63.251.19.13'},"[['63.251.19.6', '63.251.19.13']]",NONE,['AS13789'],['AS13789'],['AS13789'],no,"('cdce.nym011.internap.com', [], ['63.251.19.13'])"
Cartoons 4U,"['""USA"",Cartoons 4U']",['66.165.242.218'],{'66.165.242.218'},[['66.165.242.218']],NONE,['AS29802'],['AS29802'],['AS29802'],no,"('66-165-242-218.static.hvvc.us', [], ['66.165.242.218'])"
DW (DE),"['""24/7 WORLD NEWS"",DW (DE)']",['204.237.142.169'],{'204.237.142.169'},"[['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169'], ['204.237.142.169']]",NONE,['AS20940'],['AS20940'],"['AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940', 'AS20940']",no,cant reverse lookup
France 24 (FR),"['""24/7 WORLD NEWS"",France 24 (FR)']",['204.237.142.153'],['NONE'],"[['204.237.142.153'], ['204.237.142.153'], ['204.237.142.153']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,cant reverse lookup
NHK World (JP),"['""24/7 WORLD NEWS"",NHK World (JP)']",['23.221.72.42'],['NONE'],"[['23.221.72.42'], ['23.221.72.42'], ['23.221.72.42']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",no,"('a23-221-72-42.deploy.static.akamaitechnologies.com', [], ['23.221.72.42'])"
RT America (HD) (RU),"['""24/7 WORLD NEWS"",RT America (HD) (RU)']",['8.253.45.216'],['NONE'],"[['8.253.45.216', '8.252.65.139'], ['8.253.45.216', '8.252.65.139'], ['8.253.45.216', '8.252.65.139']]",NONE,['AS3356'],['NONE'],"['AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
RT America (Opt-1) (RU),"['""24/7 WORLD NEWS"",RT America (Opt-1) (RU)']",['8.253.132.40'],{'8.253.132.40'},"[['8.253.132.40', '8.249.216.20'], ['8.253.132.40'], ['8.253.132.40'], ['8.253.132.40'], ['8.253.132.40']]",NONE,['AS3356'],['AS3356'],"['AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
RT America (Opt-2) (RU),"['""24/7 WORLD NEWS"",RT America (Opt-2) (RU)']",['92.43.140.249'],{'92.43.140.249'},"[['92.43.140.249'], ['92.43.140.249'], ['92.43.140.249']]",NONE,['AS44395'],['AS44395'],"['AS44395', 'AS44395', 'AS44395']",no,"('host-249.140.43.92.ucom.am', [], ['92.43.140.249'])"
RT UK (RU),"['""24/7 WORLD NEWS"",RT UK (RU)']",['8.253.132.40'],{'8.253.132.40'},"[['8.252.158.11', '8.253.132.40'], ['8.253.132.40'], ['8.253.132.40'], ['8.253.132.40'], ['8.253.132.40']]",NONE,['AS3356'],['AS3356'],"['AS3356', 'AS3356', 'AS3356', 'AS3356', 'AS3356']",no,cant reverse lookup
Sky News America (UK),"['""24/7 WORLD NEWS"",Sky News America (UK)']",['99.84.104.120'],['NONE'],"[['99.84.104.120', '99.84.104.26'], ['99.84.104.120', '99.84.104.26'], ['99.84.104.120', '99.84.104.26']]",NONE,['AS16509'],['NONE'],"['AS16509', 'AS16509', 'AS16509']",no,"('server-99-84-104-120.iad79.r.cloudfront.net', [], ['99.84.104.120'])"
TRT World (TR),"['""24/7 WORLD NEWS"",TRT World (TR)']",['23.217.129.139'],{'23.217.129.139'},"[['23.217.129.139'], ['23.217.129.139'], ['23.217.129.139'], ['23.217.129.139']]",NONE,['AS7922'],['AS7922'],"['AS7922', 'AS7922', 'AS7922', 'AS7922']",no,"('a23-217-129-139.deploy.static.akamaitechnologies.com', [], ['23.217.129.139'])"
TeleSUR English (VE),"['""24/7 WORLD NEWS"",TeleSUR English (VE)']",['99.84.106.22'],{'99.84.106.22'},"[['99.84.106.22', '99.84.106.65']]",NONE,['AS16509'],['AS16509'],['AS16509'],no,"('server-99-84-106-22.iad79.r.cloudfront.net', [], ['99.84.106.22'])"
i24 News (IL),"['""24/7 WORLD NEWS"",i24 News (IL)']",['23.221.72.16'],['NONE'],"[['23.221.72.16'], ['23.221.72.16'], ['23.221.72.16']]",NONE,['AS20940'],['NONE'],"['AS20940', 'AS20940', 'AS20940']",yes,"('a23-221-72-16.deploy.static.akamaitechnologies.com', [], ['23.221.72.16'])"
~ 24/7 World News ~,"['""LABEL"",~ 24/7 World News ~']",[],['NONE'],[],Error,[],['NONE'],[],,
